customer_id,age,monthly_bill,total_usage,contract_type,churn
1,56,110.56,1.13,One Year,0
2,69,100.88,12.9,Two Year,0
3,46,125.46,53.92,Two Year,1
4,32,132.46,67.84,Month-to-Month,0
5,60,32.92,42.33,One Year,1
6,25,142.87,73.34,Two Year,1
7,78,63.55,52.66,Month-to-Month,0
8,38,148.51,8.34,Two Year,0
9,56,168.06,20.01,Month-to-Month,0
10,75,164.71,84.16,Two Year,1
11,36,119.45,72.77,One Year,0
12,40,113.63,89.58,Two Year,1
13,28,45.72,12.64,Month-to-Month,0
14,28,159.56,99.03,Two Year,0
15,41,68.85,21.73,One Year,0
16,70,109.41,2.17,One Year,0
17,53,71.17,99.74,One Year,1
18,57,44.09,28.83,One Year,0
19,41,133.32,67.13,Month-to-Month,0
20,20,29.78,18.49,Two Year,0
21,39,154.76,58.44,One Year,0
22,70,77.17,90.5,Two Year,0
23,19,20.02,32.7,Month-to-Month,0
24,41,112.0,67.36,Two Year,1
25,61,28.43,19.6,Two Year,0
26,47,69.71,62.85,One Year,0
27,55,147.26,34.31,One Year,0
28,19,31.28,21.91,Month-to-Month,0
29,77,171.08,32.01,Two Year,0
30,38,20.69,18.71,Month-to-Month,0
31,50,64.43,90.29,Month-to-Month,0
32,29,153.36,40.32,Month-to-Month,0
33,75,76.93,25.28,One Year,0
34,39,38.34,45.39,One Year,0
35,78,84.84,32.73,Two Year,1
36,61,68.67,74.7,Two Year,0
37,42,171.69,97.15,Two Year,0
38,66,76.4,44.37,One Year,0
39,44,162.01,86.24,One Year,0
40,76,180.54,57.02,Month-to-Month,1
41,59,98.09,16.57,One Year,0
42,45,183.79,69.37,Month-to-Month,0
43,77,87.92,51.83,Month-to-Month,0
44,33,193.53,65.41,One Year,0
45,32,36.07,89.08,Month-to-Month,0
46,79,143.66,44.6,Month-to-Month,0
47,79,108.89,90.22,Two Year,0
48,64,89.78,75.32,Month-to-Month,0
49,79,133.89,49.37,One Year,0
50,68,146.69,60.72,One Year,0
51,61,20.79,33.23,Month-to-Month,0
52,72,50.05,98.38,Two Year,0
53,69,148.35,67.07,One Year,0
54,74,139.95,5.34,One Year,0
55,20,193.89,33.34,Two Year,1
56,54,156.99,62.71,Month-to-Month,0
57,68,191.14,6.58,One Year,1
58,24,146.46,3.36,Month-to-Month,0
59,38,73.65,45.55,Month-to-Month,0
60,26,38.97,33.94,Month-to-Month,1
61,56,160.73,44.39,Month-to-Month,0
62,35,135.95,27.01,One Year,1
63,21,28.67,17.31,Two Year,0
64,42,84.81,69.23,One Year,0
65,77,192.22,51.94,Two Year,0
66,31,110.07,20.82,Month-to-Month,1
67,67,97.89,32.64,Two Year,1
68,75,102.39,59.59,Month-to-Month,0
69,26,57.6,8.15,One Year,0
70,43,86.37,15.6,One Year,0
71,70,86.57,8.25,Two Year,1
72,19,29.42,81.42,Month-to-Month,0
73,37,158.16,75.49,Month-to-Month,0
74,45,94.97,75.58,Two Year,0
75,64,167.99,71.92,Month-to-Month,0
76,77,173.06,67.27,Month-to-Month,0
77,24,58.16,48.22,Month-to-Month,1
78,61,138.32,64.59,One Year,0
79,78,105.01,4.8,One Year,1
80,25,178.43,62.52,One Year,0
81,64,58.83,78.01,Month-to-Month,0
82,52,142.01,50.54,One Year,0
83,31,129.4,36.39,Month-to-Month,0
84,34,73.15,28.47,Month-to-Month,1
85,53,44.59,64.64,Two Year,0
86,67,137.3,69.59,Month-to-Month,0
87,57,152.95,87.23,One Year,0
88,21,76.81,34.89,One Year,0
89,19,136.07,77.21,Month-to-Month,1
90,79,91.12,56.57,One Year,0
91,23,148.38,88.4,Month-to-Month,0
92,71,55.86,53.25,Two Year,0
93,59,180.24,52.25,Month-to-Month,0
94,21,71.73,58.21,Month-to-Month,0
95,71,86.2,75.18,Two Year,0
96,46,30.46,96.5,One Year,0
97,35,40.07,8.28,Two Year,0
98,43,112.86,6.29,Two Year,1
99,61,68.17,93.82,Month-to-Month,0
100,51,170.39,53.46,Month-to-Month,0
101,27,22.64,61.88,Two Year,1
102,79,88.24,48.76,One Year,0
103,53,80.72,10.27,Two Year,1
104,31,23.48,77.04,One Year,1
105,48,42.39,74.98,Two Year,0
106,65,94.46,31.86,Two Year,0
107,32,108.72,31.32,One Year,0
108,25,92.77,83.95,Two Year,0
109,31,115.57,8.16,Month-to-Month,1
110,40,127.12,88.23,Two Year,0
